,date,"In DATE, she becomes an adult.",she became a kid in DATE.,"In DATE, she became a kid.",she became a teenager in DATE.,"In DATE, she became a teenager.",she became all grown up in DATE.,"In DATE, she became all grown up.",she became a child in DATE.,"In DATE, she became a child.",she became an adolescent in DATE.,"In DATE, she became an adolescent.",she became an adult in DATE.,"In DATE, she became an adult.",she was a kid in DATE.,"In DATE, she was a kid.",she was a teenager in DATE.,"In DATE, she was a teenager.",she was all grown up in DATE.,"In DATE, she was all grown up.",she was a child in DATE.,"In DATE, she was a child.",she was an adolescent in DATE.,"In DATE, she was an adolescent.",she was an adult in DATE.,"In DATE, she was an adult.",she is a kid in DATE.,"In DATE, she is a kid.",she is a teenager in DATE.,"In DATE, she is a teenager.",she is all grown up in DATE.,"In DATE, she is all grown up.",she is a child in DATE.,"In DATE, she is a child.",she is an adolescent in DATE.,"In DATE, she is an adolescent.",she is an adult in DATE.,"In DATE, she is an adult.",she will be a kid in DATE.,"In DATE, she will be a kid.",she will be a teenager in DATE.,"In DATE, she will be a teenager.",she will be all grown up in DATE.,"In DATE, she will be all grown up.",she will be a child in DATE.,"In DATE, she will be a child.",she will be an adolescent in DATE.,"In DATE, she will be an adolescent.",she will be an adult in DATE.,"In DATE, she will be an adult.",she becomes a kid in DATE.,"In DATE, she becomes a kid.",she becomes a teenager in DATE.,"In DATE, she becomes a teenager.",she becomes all grown up in DATE.,"In DATE, she becomes all grown up.",she becomes a child in DATE.,"In DATE, she becomes a child.",she becomes an adolescent in DATE.,"In DATE, she becomes an adolescent.",she becomes an adult in DATE.
0,1801,26.5,17.4,19.8,24.7,28.1,33.7,42.5,46.0,46.3,35.5,33.1,29.8,29.1,1.5,5.9,18.2,19.2,20.8,36.3,29.7,45.4,29.0,28.4,25.2,32.0,7.9,11.9,24.6,12.3,25.9,29.4,14.8,36.1,28.6,21.1,29.5,33.5,0.0,10.9,34.9,29.0,11.6,25.3,3.0,14.9,24.8,21.4,32.1,25.5,20.6,18.5,29.0,26.4,28.5,26.1,40.8,40.4,31.9,30.7,32.7
1,1807,27.9,17.1,20.3,26.7,27.6,30.1,40.5,39.9,43.9,31.2,32.2,29.4,30.5,2.5,5.8,19.1,19.8,18.1,36.0,25.9,42.0,21.0,26.3,21.8,33.4,9.3,5.5,24.9,15.1,24.3,28.5,19.4,36.6,27.1,14.3,28.2,27.2,0.0,13.1,29.5,34.4,10.1,24.0,3.2,18.9,19.1,23.2,27.0,30.6,25.1,19.3,33.7,26.6,27.3,26.4,39.3,38.0,34.8,30.5,29.5
2,1814,28.9,17.8,19.1,26.5,28.8,35.3,43.7,36.5,45.5,30.8,31.7,28.4,30.6,1.6,4.7,20.2,19.4,20.4,34.9,23.3,37.0,22.7,25.6,21.4,33.3,8.9,4.4,26.4,13.2,26.9,30.0,14.4,37.2,31.4,11.9,30.3,27.7,0.0,8.8,32.2,29.2,12.0,21.1,0.3,19.4,16.0,21.5,30.8,32.0,21.4,18.6,33.4,28.0,30.9,28.0,41.9,39.0,36.5,31.5,29.5
3,1821,28.7,18.5,20.1,23.9,25.9,35.3,45.7,39.8,45.6,30.9,33.0,27.5,30.3,1.6,6.7,16.5,16.2,20.9,38.8,29.4,41.2,25.0,28.2,19.6,34.6,10.7,12.9,25.7,28.0,25.8,31.4,17.7,36.3,26.7,27.3,22.5,36.0,0.0,13.5,26.1,28.3,10.7,25.0,4.7,18.1,19.1,21.3,29.4,26.8,22.7,20.3,26.6,27.3,31.0,29.4,38.7,41.6,33.9,33.9,33.7
4,1828,29.2,14.9,18.9,24.4,28.0,32.8,43.3,38.6,45.8,29.5,33.8,27.3,32.5,2.1,6.2,18.0,18.5,21.4,38.9,27.5,44.0,19.4,27.3,22.6,36.8,10.5,3.0,24.8,16.3,27.3,27.4,18.7,36.5,27.9,21.9,30.9,32.5,0.0,12.3,28.6,36.4,11.7,27.8,0.9,19.9,19.0,21.2,31.0,30.3,24.7,16.7,28.1,27.1,30.6,27.9,40.8,39.1,35.4,32.1,30.2
5,1835,28.9,14.3,20.1,22.7,26.4,29.9,42.1,40.1,41.7,29.2,31.5,27.7,31.2,1.3,3.6,16.5,17.4,16.5,37.6,26.9,38.3,18.6,23.6,21.0,35.0,7.6,10.3,23.8,11.1,24.1,29.4,16.0,34.3,27.9,18.2,29.8,30.5,0.0,7.8,26.1,32.4,9.6,21.6,0.0,14.0,15.5,20.5,28.0,28.3,18.8,18.8,32.6,27.5,28.1,25.4,37.5,36.5,34.2,31.4,27.4
6,1842,28.9,16.8,20.1,24.4,26.4,27.2,44.8,42.2,45.1,32.2,32.8,25.7,33.0,1.7,4.3,18.7,18.6,19.9,40.6,28.5,41.7,22.7,25.3,24.2,36.0,7.7,9.9,25.8,21.9,26.0,28.6,12.0,29.4,29.5,17.7,30.8,29.7,0.0,8.3,31.9,27.7,11.0,25.4,2.3,9.8,21.8,21.3,33.5,29.7,22.3,16.4,28.1,26.6,29.6,24.9,37.6,38.3,34.2,31.6,34.1
7,1849,29.4,17.0,14.1,25.9,26.2,32.9,44.2,42.9,44.4,33.7,32.1,30.7,32.4,1.3,5.5,16.5,16.7,18.7,40.2,27.5,42.2,21.1,24.9,25.1,35.5,7.4,2.6,21.9,11.6,25.0,27.0,12.9,31.3,24.6,9.9,29.6,32.1,0.0,12.6,27.2,35.8,11.1,23.7,0.7,16.1,20.3,22.9,30.1,28.5,23.5,18.2,27.9,26.7,28.5,26.6,43.4,38.8,36.3,31.0,33.6
8,1856,29.5,15.8,16.1,24.1,25.3,32.0,45.1,40.3,45.2,30.2,31.7,28.7,32.2,1.2,7.5,17.8,16.7,18.2,40.1,27.9,45.1,20.3,25.3,21.9,35.1,9.0,3.4,22.1,22.7,24.6,29.1,19.5,32.3,25.7,16.9,29.1,29.4,0.0,10.5,26.8,35.3,10.1,22.2,0.5,13.6,18.8,20.3,29.3,29.0,24.7,19.0,20.7,26.5,27.6,25.8,39.1,40.4,33.5,32.1,31.5
9,1863,29.3,16.0,20.5,26.4,24.8,31.5,41.1,41.1,42.2,32.5,30.2,29.8,31.2,0.9,2.6,19.7,16.0,11.8,38.6,28.5,38.4,21.2,22.3,26.9,35.0,7.6,5.5,22.6,15.4,23.5,25.4,18.7,31.3,25.7,18.1,29.5,27.9,4.7,7.0,27.9,35.0,10.4,21.0,0.8,14.1,21.6,21.1,27.4,28.1,24.0,18.9,21.5,25.6,26.0,25.0,32.6,37.0,30.9,30.6,27.5
