,place,"In PLACE, she becomes an adult.",she became a kid in PLACE.,"In PLACE, she became a kid.",she became a teenager in PLACE.,"In PLACE, she became a teenager.",she became all grown up in PLACE.,"In PLACE, she became all grown up.",she became a child in PLACE.,"In PLACE, she became a child.",she became an adolescent in PLACE.,"In PLACE, she became an adolescent.",she became an adult in PLACE.,"In PLACE, she became an adult.",she was a kid in PLACE.,"In PLACE, she was a kid.",she was a teenager in PLACE.,"In PLACE, she was a teenager.",she was all grown up in PLACE.,"In PLACE, she was all grown up.",she was a child in PLACE.,"In PLACE, she was a child.",she was an adolescent in PLACE.,"In PLACE, she was an adolescent.",she was an adult in PLACE.,"In PLACE, she was an adult.",she is a kid in PLACE.,"In PLACE, she is a kid.",she is a teenager in PLACE.,"In PLACE, she is a teenager.",she is all grown up in PLACE.,"In PLACE, she is all grown up.",she is a child in PLACE.,"In PLACE, she is a child.",she is an adolescent in PLACE.,"In PLACE, she is an adolescent.",she is an adult in PLACE.,"In PLACE, she is an adult.",she will be a kid in PLACE.,"In PLACE, she will be a kid.",she will be a teenager in PLACE.,"In PLACE, she will be a teenager.",she will be all grown up in PLACE.,"In PLACE, she will be all grown up.",she will be a child in PLACE.,"In PLACE, she will be a child.",she will be an adolescent in PLACE.,"In PLACE, she will be an adolescent.",she will be an adult in PLACE.,"In PLACE, she will be an adult.",she becomes a kid in PLACE.,"In PLACE, she becomes a kid.",she becomes a teenager in PLACE.,"In PLACE, she becomes a teenager.",she becomes all grown up in PLACE.,"In PLACE, she becomes all grown up.",she becomes a child in PLACE.,"In PLACE, she becomes a child.",she becomes an adolescent in PLACE.,"In PLACE, she becomes an adolescent.",she becomes an adult in PLACE.
0,Afghanistan,31.4,15.9,34.5,74.5,70.9,22.3,26.1,56.5,48.9,73.9,68.8,59.1,44.4,5.7,2.9,46.2,69.2,32.8,16.2,36.3,43.4,51.9,64.0,9.1,19.3,68.8,47.1,61.5,46.5,41.8,26.2,57.3,43.3,51.1,35.7,63.3,47.6,13.2,6.7,29.3,7.7,13.9,6.0,8.0,8.8,26.8,10.0,55.9,44.4,63.4,54.0,57.8,47.8,49.5,30.9,53.4,38.6,58.8,47.8,44.8
1,Yemen,35.1,49.4,75.8,75.5,74.3,45.3,36.5,64.4,53.1,73.6,72.2,65.0,47.5,5.3,7.5,75.6,75.5,39.4,30.7,61.1,49.9,67.8,62.7,54.9,58.2,83.4,52.1,59.6,53.4,50.5,13.0,55.7,47.3,40.9,31.5,27.0,27.3,9.0,13.4,51.3,30.1,17.1,4.8,9.9,4.7,40.6,31.8,47.5,40.3,67.0,52.7,59.8,53.9,54.8,22.9,47.9,41.7,58.9,52.6,46.8
2,Iraq,32.6,14.2,31.8,72.3,69.1,20.7,28.3,52.6,48.6,67.1,64.7,57.0,43.4,3.6,1.5,70.9,70.9,30.3,15.6,40.4,39.0,69.1,61.2,19.5,52.5,57.8,44.3,60.3,45.1,41.6,27.8,52.2,41.9,46.4,29.0,57.5,38.3,7.0,7.5,30.9,9.1,13.3,0.0,5.7,8.1,19.9,19.0,49.5,40.9,71.8,58.4,55.5,49.6,36.0,29.3,52.0,39.1,55.0,38.6,42.8
3,Pakistan,28.4,42.8,69.3,70.5,72.4,28.5,16.6,56.2,48.0,62.6,61.8,52.3,38.9,3.5,7.4,75.4,73.1,21.0,26.2,59.4,50.4,62.9,56.0,65.4,47.2,81.1,29.6,56.9,47.8,47.8,8.5,53.2,41.1,35.4,25.5,53.5,32.3,20.6,13.1,45.1,24.7,8.9,0.0,16.3,12.7,40.2,25.0,48.3,37.7,66.5,45.3,55.8,50.1,44.9,35.2,52.1,37.2,50.6,44.8,43.8
4,Syria,42.3,29.4,60.0,74.3,75.8,38.9,29.2,66.4,53.3,72.6,72.9,66.8,45.4,6.4,3.1,80.8,77.4,37.9,29.6,56.2,44.4,75.5,69.2,76.1,61.7,77.2,55.9,62.6,57.5,51.2,20.1,51.8,43.9,45.3,36.9,1.2,4.0,7.5,8.8,47.7,19.2,16.8,0.0,7.4,0.0,32.5,30.2,63.0,12.7,67.6,50.3,60.7,47.3,43.0,26.9,45.6,40.0,57.5,41.8,47.8
5,Democratic Republic of Congo,33.1,68.6,71.0,61.6,60.8,35.5,27.3,52.7,39.7,59.6,56.3,54.5,50.3,16.4,12.5,63.3,62.5,25.5,29.3,51.4,47.1,59.8,53.4,65.0,56.2,74.6,35.4,49.1,39.1,43.8,6.1,43.2,33.8,32.4,24.3,1.8,0.9,21.5,12.4,41.3,37.0,4.6,0.0,18.0,3.8,32.8,28.1,43.0,5.7,65.7,49.9,53.3,42.9,35.7,22.9,47.5,31.6,49.7,37.1,43.1
6,Iran,31.2,33.5,67.0,77.5,74.7,33.0,27.9,65.4,53.6,71.9,65.3,66.7,41.3,4.1,4.3,81.8,79.4,22.0,22.8,68.4,57.7,75.5,62.9,72.5,52.8,77.0,35.2,63.6,53.9,49.3,18.9,56.8,46.9,49.9,31.2,62.8,36.3,9.7,12.3,35.4,24.6,9.3,0.0,10.9,0.0,19.3,18.8,50.6,41.4,61.8,47.8,60.4,44.6,53.1,24.3,48.6,40.5,57.6,37.0,45.1
7,Mali,31.2,42.9,70.7,61.9,69.0,34.7,33.7,53.7,48.2,58.3,60.0,57.4,41.0,7.0,3.8,62.3,69.0,32.2,28.0,48.2,44.0,54.2,56.0,48.5,53.0,74.7,38.4,52.0,48.6,40.3,18.0,42.5,34.4,31.3,24.3,54.7,38.6,6.6,12.7,41.5,24.2,13.1,5.3,6.8,0.0,30.2,18.8,53.8,43.8,55.6,48.0,51.9,44.5,32.8,21.1,37.6,37.5,43.5,35.6,39.6
8,Chad,27.0,26.1,31.5,63.7,52.3,39.2,27.1,58.8,33.8,60.4,65.6,58.7,38.3,10.7,17.2,55.1,36.7,27.6,26.7,52.8,39.8,46.7,53.2,22.7,31.7,58.0,37.5,47.7,45.1,32.9,27.3,44.5,42.5,31.5,32.0,62.7,37.1,1.0,5.0,38.0,20.4,13.1,4.3,4.8,0.0,45.2,23.0,50.9,37.1,52.0,38.6,48.5,38.7,34.6,19.9,36.6,38.6,41.6,35.2,37.3
9,Saudi Arabia,24.1,37.1,60.2,57.9,60.1,29.3,29.9,46.0,41.1,54.1,53.3,45.2,36.8,5.4,4.8,60.0,59.8,24.1,27.9,51.0,44.2,48.0,46.6,64.5,51.3,74.4,46.6,44.9,35.9,39.4,20.7,44.8,40.1,23.8,13.9,54.9,34.9,12.8,11.7,44.7,17.2,11.9,7.3,11.4,2.7,42.2,26.6,50.8,37.3,52.1,47.4,43.2,37.9,35.3,30.9,35.7,32.9,38.9,36.0,34.1
10,Switzerland,31.0,30.4,62.8,69.2,66.7,27.7,32.2,60.4,48.0,65.4,59.6,56.2,40.1,6.5,4.3,61.0,64.9,22.2,21.2,52.1,42.2,52.3,47.3,57.2,52.6,62.1,31.5,35.3,27.6,29.1,30.9,38.5,31.7,14.4,13.0,50.9,39.4,8.6,9.7,37.1,21.4,11.3,8.7,7.5,0.0,26.5,26.3,38.9,36.0,52.8,51.3,42.3,46.0,36.8,19.6,45.7,40.0,36.5,37.2,40.7
11,Ireland,27.4,28.0,60.5,70.6,69.7,25.2,32.4,67.3,50.6,64.6,62.2,63.2,43.0,5.1,4.5,61.4,60.4,25.3,20.4,64.4,50.2,48.4,40.7,65.2,47.8,52.5,22.9,26.3,18.6,33.6,26.6,33.2,33.3,10.6,11.9,46.6,37.0,9.7,18.2,48.5,32.7,7.0,12.4,6.3,6.8,37.4,33.4,54.2,43.9,72.5,41.9,46.1,40.2,47.6,17.0,50.7,36.9,36.4,30.6,41.9
12,Lithuania,29.0,51.5,64.3,65.5,64.5,38.4,24.4,62.4,46.5,62.7,59.2,54.3,40.1,4.5,7.6,67.9,64.5,25.9,20.9,61.5,44.8,60.9,50.4,65.4,53.8,73.9,29.7,55.0,43.7,45.5,15.4,46.5,37.4,29.4,24.4,62.7,48.7,12.3,11.7,51.3,25.9,12.8,8.0,7.6,0.0,39.3,26.0,55.7,47.0,57.5,44.4,49.0,44.2,39.5,16.2,48.8,39.3,45.6,35.9,41.9
13,Rwanda,27.4,14.9,53.4,59.2,63.3,27.2,21.9,44.7,40.4,53.5,55.7,49.5,48.9,4.1,1.2,56.7,62.6,21.8,12.9,42.8,37.9,51.1,50.1,22.5,54.9,53.7,40.3,42.7,41.6,28.7,5.0,39.2,32.6,25.5,20.1,48.2,37.9,4.6,6.7,29.2,18.8,10.3,0.0,3.8,0.0,26.8,11.9,44.8,34.3,45.4,46.5,43.3,41.6,22.9,21.2,32.1,34.6,38.9,36.9,33.6
14,Namibia,37.0,43.5,67.4,62.6,66.4,38.8,35.3,48.2,42.4,56.1,60.2,52.2,41.2,3.9,3.8,62.4,64.4,32.1,22.9,47.8,39.2,54.7,53.4,51.3,58.1,74.8,53.5,45.4,44.6,39.2,12.7,43.6,36.4,26.1,25.5,30.6,8.5,11.7,10.6,52.2,27.6,13.8,5.1,11.3,0.0,42.0,28.9,57.4,33.5,59.5,50.9,49.3,49.8,52.1,21.8,46.0,39.7,42.4,41.0,41.1
15,Sweden,25.9,42.4,59.2,56.2,56.7,27.8,27.4,54.5,41.7,52.6,49.6,48.2,38.3,4.4,7.2,46.6,42.6,25.6,19.8,49.4,32.2,35.2,25.8,55.6,40.1,60.6,28.3,22.9,17.4,27.9,30.7,30.1,20.3,9.2,8.4,45.5,34.8,10.3,15.2,37.6,22.5,12.4,12.4,8.4,0.0,37.4,23.2,48.3,39.0,64.0,46.1,37.3,40.9,29.7,16.9,45.8,35.5,31.5,32.4,33.8
16,New Zealand,16.3,43.6,48.7,55.4,51.1,29.1,16.1,50.4,32.5,47.0,37.2,44.1,29.8,7.1,9.5,46.0,43.8,24.7,20.5,50.7,40.5,32.8,23.1,48.1,30.9,48.8,16.3,21.3,11.5,28.7,6.3,32.8,22.2,8.4,3.1,35.5,23.4,14.8,8.5,54.2,26.5,12.7,0.0,11.2,2.1,46.1,17.1,50.5,28.4,66.5,17.1,38.3,15.1,16.8,6.8,48.9,19.4,26.3,10.4,37.6
17,Norway,31.1,60.5,72.5,63.9,63.1,37.3,26.5,61.3,43.6,56.7,54.1,57.5,42.4,5.1,7.0,58.4,57.7,30.1,22.9,56.9,40.7,45.2,38.6,59.8,45.3,66.8,37.3,32.3,28.1,35.5,26.8,30.8,23.3,14.4,12.6,51.0,38.7,9.6,22.6,46.7,27.3,14.0,14.4,7.7,6.1,39.8,30.3,52.4,40.8,69.7,52.0,48.0,50.4,50.4,19.8,48.6,38.8,39.0,38.2,38.8
18,Finland,25.7,52.6,68.3,66.4,65.4,34.0,21.3,59.2,39.7,57.0,54.5,50.6,37.2,4.9,7.4,63.8,61.6,25.5,20.2,58.3,40.0,50.9,42.2,59.1,42.9,63.0,31.3,33.4,30.0,36.4,19.4,39.8,26.0,13.0,12.1,52.6,32.2,11.4,14.5,43.4,24.4,9.8,10.6,8.6,0.0,39.2,23.8,48.2,38.1,61.4,43.2,42.4,41.6,31.1,15.9,44.7,37.2,35.7,32.0,32.0
19,Iceland,18.7,35.3,68.6,54.8,56.7,27.9,21.0,53.0,41.8,47.2,44.2,52.6,37.6,5.4,4.3,41.1,44.1,28.9,20.6,42.2,35.7,28.3,26.0,13.3,37.5,48.0,20.4,21.0,12.2,30.6,11.7,29.6,20.0,7.8,4.2,44.7,30.7,4.6,13.4,40.9,27.8,12.0,8.7,5.1,0.0,38.3,21.7,55.2,40.5,63.2,36.9,34.2,40.6,48.9,13.1,43.0,32.1,27.5,29.0,28.7
