,place,"In PLACE, she becomes an adult.",she became a kid in PLACE.,"In PLACE, she became a kid.",she became a teenager in PLACE.,"In PLACE, she became a teenager.",she became all grown up in PLACE.,"In PLACE, she became all grown up.",she became a child in PLACE.,"In PLACE, she became a child.",she became an adolescent in PLACE.,"In PLACE, she became an adolescent.",she became an adult in PLACE.,"In PLACE, she became an adult.",she was a kid in PLACE.,"In PLACE, she was a kid.",she was a teenager in PLACE.,"In PLACE, she was a teenager.",she was all grown up in PLACE.,"In PLACE, she was all grown up.",she was a child in PLACE.,"In PLACE, she was a child.",she was an adolescent in PLACE.,"In PLACE, she was an adolescent.",she was an adult in PLACE.,"In PLACE, she was an adult.",she is a kid in PLACE.,"In PLACE, she is a kid.",she is a teenager in PLACE.,"In PLACE, she is a teenager.",she is all grown up in PLACE.,"In PLACE, she is all grown up.",she is a child in PLACE.,"In PLACE, she is a child.",she is an adolescent in PLACE.,"In PLACE, she is an adolescent.",she is an adult in PLACE.,"In PLACE, she is an adult.",she will be a kid in PLACE.,"In PLACE, she will be a kid.",she will be a teenager in PLACE.,"In PLACE, she will be a teenager.",she will be all grown up in PLACE.,"In PLACE, she will be all grown up.",she will be a child in PLACE.,"In PLACE, she will be a child.",she will be an adolescent in PLACE.,"In PLACE, she will be an adolescent.",she will be an adult in PLACE.,"In PLACE, she will be an adult.",she becomes a kid in PLACE.,"In PLACE, she becomes a kid.",she becomes a teenager in PLACE.,"In PLACE, she becomes a teenager.",she becomes all grown up in PLACE.,"In PLACE, she becomes all grown up.",she becomes a child in PLACE.,"In PLACE, she becomes a child.",she becomes an adolescent in PLACE.,"In PLACE, she becomes an adolescent.",she becomes an adult in PLACE.
0,Afghanistan,43.7,32.4,31.0,26.3,31.1,7.0,0.0,27.0,25.0,20.7,39.6,34.2,46.2,33.9,34.4,35.4,35.5,40.2,19.6,32.5,25.3,25.6,37.5,33.6,35.9,30.0,21.0,26.6,25.3,18.6,11.5,14.9,7.8,22.9,28.1,25.0,31.1,14.3,11.8,14.1,19.4,0.0,0.0,6.5,2.1,8.2,24.7,5.9,19.8,46.5,27.8,29.2,33.3,17.0,8.8,35.4,16.6,29.1,38.3,45.2
1,Yemen,50.7,35.4,36.7,32.7,38.8,6.7,2.6,31.1,31.9,26.4,47.8,42.3,56.1,37.1,34.8,43.6,39.5,41.8,18.6,35.5,30.9,34.8,40.5,43.0,39.9,32.1,24.6,29.4,31.2,22.5,6.7,14.1,8.3,30.4,34.6,33.1,35.1,14.5,14.5,12.6,21.0,0.0,0.0,4.5,2.9,8.5,28.6,7.0,20.9,52.1,33.5,35.7,39.9,24.7,9.0,40.2,20.2,31.5,42.8,54.4
2,Iraq,40.7,33.0,28.3,28.9,26.3,7.7,0.0,28.2,24.6,23.6,34.0,37.5,41.5,30.0,28.7,36.0,31.2,43.9,17.0,28.3,21.8,23.3,32.1,32.8,32.6,23.6,20.6,24.3,26.6,23.1,8.9,10.0,7.0,21.5,30.0,23.4,30.6,16.1,12.6,16.6,21.4,0.0,0.0,5.5,2.0,10.4,28.6,7.1,23.5,43.1,27.8,28.0,32.4,10.7,9.4,34.5,18.9,29.7,38.8,44.5
3,Pakistan,51.7,37.6,30.8,30.7,30.2,7.4,0.0,30.7,29.0,23.7,40.7,45.2,50.6,50.9,32.2,49.7,34.0,39.7,26.5,39.6,29.0,35.4,37.7,57.1,43.7,48.3,28.1,41.2,29.1,11.7,8.6,24.6,11.5,32.3,29.7,47.8,39.0,21.0,16.6,27.7,18.6,0.0,0.0,7.4,4.5,10.7,25.2,13.3,25.7,53.8,29.6,36.9,37.0,9.6,8.7,38.8,19.8,27.4,42.3,60.0
4,Syria,48.9,37.9,32.3,37.0,33.9,7.7,0.0,32.4,27.9,32.0,43.0,45.0,53.1,46.2,30.2,47.1,36.2,44.3,12.2,31.4,25.2,36.1,34.7,38.7,32.7,31.2,19.3,31.4,28.5,27.8,6.0,11.4,6.6,30.7,31.1,26.7,24.8,16.0,10.3,28.9,20.1,0.0,0.0,4.2,1.4,13.7,27.5,5.5,15.5,49.5,31.3,35.2,38.5,21.8,7.0,37.8,20.0,37.1,41.6,54.3
5,Democratic Republic of Congo,42.3,32.5,26.4,29.3,31.7,8.3,0.0,29.1,26.6,43.3,38.6,50.4,46.1,36.5,32.7,48.2,38.4,39.8,25.8,39.1,28.4,44.6,34.4,53.3,41.7,43.1,27.5,42.4,38.5,19.7,6.4,32.2,18.4,35.1,36.1,47.1,38.0,32.8,10.0,31.3,16.6,0.0,0.0,19.6,3.7,13.8,26.6,11.5,18.2,41.6,28.6,31.5,36.3,20.7,15.5,31.3,22.9,35.9,35.9,42.9
6,Iran,43.7,35.3,30.0,28.8,31.1,6.5,0.0,28.9,23.6,24.7,44.3,42.4,51.5,34.1,32.6,43.5,34.4,43.4,11.1,36.2,25.7,29.1,37.6,46.9,40.4,44.4,25.9,31.4,31.8,19.1,4.3,20.0,10.5,28.9,31.0,39.6,32.7,21.4,17.4,23.4,23.6,0.0,0.0,6.4,3.7,12.5,29.1,10.3,24.6,52.3,28.8,34.6,36.1,9.9,5.9,38.3,15.7,30.4,40.3,56.0
7,Mali,47.7,35.4,32.5,33.0,35.4,6.1,0.0,29.7,27.0,29.8,40.7,45.9,47.9,38.5,36.6,45.0,42.9,40.2,23.1,34.2,28.4,32.2,42.7,43.8,37.8,32.4,27.3,29.7,33.3,26.6,13.7,18.3,10.1,28.0,34.2,33.6,33.7,15.9,15.2,25.4,23.6,0.0,0.0,7.3,2.4,9.8,28.5,12.1,21.5,45.2,24.6,32.9,32.8,18.1,16.6,35.7,14.2,33.1,38.4,50.5
8,Chad,41.6,32.1,31.1,27.6,34.9,9.7,0.0,30.1,27.0,32.5,40.2,42.1,48.4,30.3,31.8,35.0,37.0,47.7,18.0,34.0,26.6,31.4,38.9,36.2,36.3,20.2,24.5,25.3,26.5,29.5,9.3,16.5,10.3,20.9,30.3,27.0,31.3,9.3,11.6,12.9,18.5,0.0,0.0,4.7,2.3,6.7,25.7,9.2,20.7,42.7,22.7,31.9,30.9,24.8,13.3,34.8,13.2,39.5,32.2,46.9
9,Saudi Arabia,37.2,39.5,29.7,35.3,34.0,10.7,0.0,33.4,29.6,44.9,41.0,60.3,50.1,45.5,32.2,50.4,34.4,49.1,14.0,37.7,29.9,52.7,35.4,60.4,40.8,37.4,25.3,36.5,28.3,25.3,3.1,18.1,10.6,35.8,26.6,45.5,32.5,15.9,16.0,20.3,18.6,0.0,0.0,6.2,3.7,15.2,25.1,16.4,20.7,49.3,27.9,32.7,32.1,17.3,0.0,37.0,17.7,44.8,30.1,56.3
