,place,"In PLACE, she becomes an adult.",she became a kid in PLACE.,"In PLACE, she became a kid.",she became a teenager in PLACE.,"In PLACE, she became a teenager.",she became all grown up in PLACE.,"In PLACE, she became all grown up.",she became a child in PLACE.,"In PLACE, she became a child.",she became an adolescent in PLACE.,"In PLACE, she became an adolescent.",she became an adult in PLACE.,"In PLACE, she became an adult.",she was a kid in PLACE.,"In PLACE, she was a kid.",she was a teenager in PLACE.,"In PLACE, she was a teenager.",she was all grown up in PLACE.,"In PLACE, she was all grown up.",she was a child in PLACE.,"In PLACE, she was a child.",she was an adolescent in PLACE.,"In PLACE, she was an adolescent.",she was an adult in PLACE.,"In PLACE, she was an adult.",she is a kid in PLACE.,"In PLACE, she is a kid.",she is a teenager in PLACE.,"In PLACE, she is a teenager.",she is all grown up in PLACE.,"In PLACE, she is all grown up.",she is a child in PLACE.,"In PLACE, she is a child.",she is an adolescent in PLACE.,"In PLACE, she is an adolescent.",she is an adult in PLACE.,"In PLACE, she is an adult.",she will be a kid in PLACE.,"In PLACE, she will be a kid.",she will be a teenager in PLACE.,"In PLACE, she will be a teenager.",she will be all grown up in PLACE.,"In PLACE, she will be all grown up.",she will be a child in PLACE.,"In PLACE, she will be a child.",she will be an adolescent in PLACE.,"In PLACE, she will be an adolescent.",she will be an adult in PLACE.,"In PLACE, she will be an adult.",she becomes a kid in PLACE.,"In PLACE, she becomes a kid.",she becomes a teenager in PLACE.,"In PLACE, she becomes a teenager.",she becomes all grown up in PLACE.,"In PLACE, she becomes all grown up.",she becomes a child in PLACE.,"In PLACE, she becomes a child.",she becomes an adolescent in PLACE.,"In PLACE, she becomes an adolescent.",she becomes an adult in PLACE.
0,Afghanistan,34.5,32.5,43.0,42.8,46.5,11.6,8.5,32.8,39.9,46.0,46.3,46.9,50.2,21.2,31.8,36.9,45.9,14.6,8.9,28.7,36.2,32.7,46.3,34.9,51.0,2.2,18.5,10.5,29.6,8.3,0.0,5.2,13.9,14.6,29.3,23.5,36.1,16.3,22.1,27.3,38.8,4.2,12.1,14.3,21.5,21.5,34.3,31.3,35.6,36.4,33.6,30.6,32.1,29.1,8.5,23.9,19.8,29.9,30.0,35.0
1,Yemen,29.6,31.3,40.5,42.6,39.1,10.7,5.7,30.6,31.0,43.2,40.1,44.4,44.0,21.4,37.2,40.1,43.9,12.9,4.4,26.4,30.7,32.0,41.1,32.1,46.1,3.6,14.9,17.6,25.3,5.7,0.0,4.6,9.3,19.7,20.4,26.3,28.6,15.0,19.8,26.7,33.3,2.5,9.6,13.2,17.7,20.3,27.9,29.5,32.6,39.9,26.4,31.4,26.4,27.3,4.5,25.1,15.4,30.0,23.4,34.1
2,Iraq,34.2,28.6,41.1,40.6,44.1,11.7,9.8,31.1,41.8,42.1,43.9,42.6,48.0,17.3,29.1,36.3,43.2,14.6,9.0,28.0,37.7,28.3,42.1,31.1,49.4,2.1,19.8,9.4,28.8,9.9,0.0,5.9,16.6,11.6,26.3,17.9,32.6,14.5,24.8,24.6,36.7,4.9,12.2,14.3,24.6,19.0,31.0,27.4,34.5,34.4,38.7,28.8,31.9,26.7,11.7,23.4,25.7,27.0,29.4,30.2
3,Pakistan,29.5,30.3,41.3,41.7,40.0,13.9,6.0,32.5,28.8,47.2,38.3,47.7,43.1,18.3,37.3,33.6,41.3,15.8,10.7,26.4,27.6,32.8,40.0,34.0,44.1,3.5,9.7,14.4,21.0,6.2,2.8,7.2,7.9,19.7,16.1,30.3,30.7,14.2,18.7,26.1,32.3,2.7,12.3,12.1,14.8,21.6,26.8,29.5,30.9,33.4,20.9,28.8,26.2,29.0,6.3,22.8,12.2,28.9,17.4,33.0
4,Syria,31.1,29.0,43.2,42.7,47.6,13.8,11.8,31.0,38.7,43.4,48.5,43.8,48.0,19.1,37.3,36.9,53.3,17.2,7.4,24.9,35.5,26.7,45.6,28.1,45.2,2.9,11.6,13.3,30.1,13.0,0.0,6.0,10.2,15.2,21.2,20.6,22.7,15.8,20.2,26.6,37.5,5.6,11.6,15.1,21.2,21.0,29.2,26.7,30.0,37.8,30.7,30.9,33.3,27.4,9.5,25.0,20.1,30.5,28.8,33.4
5,Democratic Republic of Congo,36.6,39.0,39.1,45.2,39.4,6.8,7.7,34.1,35.6,46.3,39.9,48.7,46.8,31.7,29.9,40.5,40.1,7.5,7.8,34.4,34.8,41.6,40.5,44.3,47.5,3.7,14.3,15.0,21.8,1.4,4.0,5.5,17.9,18.8,22.0,30.7,34.0,14.4,16.1,22.7,31.4,0.0,8.8,8.1,16.2,20.0,28.5,30.3,30.5,29.7,29.1,29.6,28.4,18.6,6.3,18.1,20.6,27.0,24.1,32.1
6,Iran,31.7,31.7,40.6,40.0,40.8,14.5,6.9,33.5,33.6,46.0,42.3,48.7,46.2,18.1,36.1,32.9,43.9,18.4,7.6,29.0,33.9,31.1,43.5,35.7,46.7,3.3,16.3,13.5,23.2,7.3,0.0,8.5,12.6,19.1,19.6,31.6,31.4,15.2,22.4,23.9,30.5,6.0,12.8,16.4,20.7,22.3,26.7,32.4,28.8,37.5,26.1,29.6,27.1,31.3,6.2,27.7,16.7,31.7,21.9,38.2
7,Mali,32.1,31.8,38.9,40.4,39.9,10.4,7.7,32.0,33.0,43.1,40.4,44.4,44.8,17.9,30.8,29.9,39.1,12.2,7.4,25.8,30.3,25.5,38.8,26.4,45.8,2.4,17.0,9.4,24.2,4.9,3.1,4.7,9.1,13.0,21.5,20.3,31.2,12.5,19.5,22.2,33.7,3.6,10.5,10.5,15.5,19.9,29.7,26.7,33.7,33.7,29.4,28.7,27.0,25.2,9.0,22.0,17.0,27.6,25.7,31.6
8,Chad,23.2,28.8,34.1,40.4,30.2,12.1,13.8,37.5,37.3,49.6,44.5,44.1,33.8,16.0,16.8,29.5,27.7,16.5,8.1,28.9,28.4,30.8,40.7,27.1,33.5,1.6,7.6,6.5,18.0,7.4,4.9,5.8,12.0,16.2,28.1,14.2,28.1,8.2,20.3,22.3,27.1,7.6,17.1,12.9,15.6,25.4,31.2,28.7,30.4,30.8,31.9,26.0,15.7,25.4,20.7,24.7,20.2,31.9,26.3,30.5
9,Saudi Arabia,22.7,34.3,33.2,39.7,32.5,14.4,6.5,29.3,21.5,41.3,30.1,42.5,32.4,22.4,31.4,37.5,35.8,16.3,6.7,28.2,21.6,31.8,30.3,35.0,32.3,2.6,10.0,13.0,16.1,7.0,0.0,6.0,5.4,15.1,10.1,27.8,20.9,17.3,16.7,27.7,25.9,3.7,11.6,12.6,13.0,22.3,21.1,31.5,23.9,32.3,18.3,27.2,22.0,26.9,4.6,20.6,9.7,26.3,14.0,30.6
