,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because he was too incompetent."
0,1901,9.1
1,1904,9.5
2,1908,9.6
3,1912,9.7
4,1916,9.4
5,1920,9.8
6,1924,9.9
7,1928,10.2
8,1932,9.9
9,1936,9.9
10,1940,10.1
11,1944,9.9
12,1948,9.8
13,1952,9.7
14,1956,10.0
15,1960,10.0
16,1964,9.8
17,1968,9.8
18,1972,10.0
19,1976,10.6
20,1980,11.0
21,1984,11.2
22,1988,12.3
23,1992,12.5
24,1996,13.4
25,2000,14.1
26,2004,13.7
27,2008,15.1
28,2012,15.5
29,2016,17.2
