,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because he was too incompetent."
0,1901,22.9
1,1904,23.5
2,1908,22.9
3,1912,24.0
4,1916,24.1
5,1920,25.2
6,1924,24.6
7,1928,24.8
8,1932,24.4
9,1936,24.5
10,1940,25.7
11,1944,23.2
12,1948,24.7
13,1952,23.0
14,1956,23.0
15,1960,23.9
16,1964,22.8
17,1968,22.9
18,1972,23.2
19,1976,24.2
20,1980,25.0
21,1984,24.5
22,1988,27.4
23,1992,28.4
24,1996,29.5
25,2000,30.9
26,2004,30.3
27,2008,34.4
28,2012,35.5
29,2016,39.0
