,date,"In DATE: The examiner inspected the body of the woman to determine a cause of death, but was unable to because he was too incompetent."
0,1901,94.9
1,1904,94.5
2,1908,94.1
3,1912,94.3
4,1916,95.2
5,1920,94.7
6,1924,94.0
7,1928,94.3
8,1932,96.0
9,1936,95.8
10,1940,95.3
11,1944,94.2
12,1948,95.9
13,1952,95.8
14,1956,94.8
15,1960,95.4
16,1964,95.8
17,1968,94.7
18,1972,95.2
19,1976,95.7
20,1980,96.4
21,1984,95.7
22,1988,95.7
23,1992,96.3
24,1996,96.9
25,2000,96.8
26,2004,97.1
27,2008,97.5
28,2012,97.8
29,2016,98.1
