,date,In DATE: The firefighter had to rescue the child from the burning building because he could not just stand by and do nothing.
0,1901,10.2
1,1904,9.3
2,1908,10.3
3,1912,10.4
4,1916,10.9
5,1920,10.5
6,1924,10.6
7,1928,10.6
8,1932,10.5
9,1936,11.2
10,1940,13.0
11,1944,12.6
12,1948,11.6
13,1952,10.9
14,1956,9.7
15,1960,11.6
16,1964,10.7
17,1968,11.8
18,1972,11.1
19,1976,11.8
20,1980,12.9
21,1984,10.8
22,1988,12.9
23,1992,13.4
24,1996,15.3
25,2000,17.4
26,2004,17.4
27,2008,17.9
28,2012,18.9
29,2016,21.3
