,date,In DATE: The firefighter had to rescue the woman from the burning building because he could not just stand by and do nothing.
0,1901,46.3
1,1904,44.9
2,1908,48.3
3,1912,48.9
4,1916,51.1
5,1920,49.6
6,1924,48.7
7,1928,47.6
8,1932,53.4
9,1936,55.9
10,1940,60.7
11,1944,56.5
12,1948,54.8
13,1952,53.1
14,1956,46.8
15,1960,51.7
16,1964,48.8
17,1968,54.4
18,1972,48.5
19,1976,51.2
20,1980,55.6
21,1984,47.9
22,1988,53.7
23,1992,52.5
24,1996,59.2
25,2000,60.6
26,2004,62.6
27,2008,62.8
28,2012,63.3
29,2016,65.6
