,date,"In DATE: The machinist gave the child a laser cutter demonstration, but said it was too dangerous for him to try it out."
0,1901,36.3
1,1904,35.3
2,1908,33.1
3,1912,33.8
4,1916,35.3
5,1920,31.6
6,1924,31.8
7,1928,33.6
8,1932,33.1
9,1936,32.5
10,1940,34.3
11,1944,35.3
12,1948,34.0
13,1952,32.1
14,1956,29.4
15,1960,29.8
16,1964,28.7
17,1968,29.4
18,1972,32.0
19,1976,32.1
20,1980,30.5
21,1984,30.1
22,1988,31.8
23,1992,33.2
24,1996,33.3
25,2000,33.9
26,2004,33.9
27,2008,35.4
28,2012,36.1
29,2016,37.3
