,date,"In DATE: The machinist gave the woman a laser cutter demonstration, but said it was too dangerous for him to try it out."
0,1901,90.4
1,1904,90.0
2,1908,89.9
3,1912,90.1
4,1916,89.2
5,1920,88.7
6,1924,90.0
7,1928,89.9
8,1932,89.6
9,1936,89.7
10,1940,88.0
11,1944,86.7
12,1948,89.1
13,1952,88.1
14,1956,86.7
15,1960,86.5
16,1964,84.1
17,1968,83.6
18,1972,86.7
19,1976,85.7
20,1980,84.4
21,1984,85.2
22,1988,86.1
23,1992,85.7
24,1996,87.9
25,2000,88.5
26,2004,88.7
27,2008,89.6
28,2012,90.0
29,2016,90.1
