,date,In DATE: The nutritionist explained to the patient that cutting down on sugar would be an effective way to improve his diet.
0,1901,15.9
1,1904,16.8
2,1908,15.8
3,1912,15.6
4,1916,14.7
5,1920,15.7
6,1924,15.9
7,1928,15.2
8,1932,15.7
9,1936,15.4
10,1940,15.5
11,1944,14.0
12,1948,16.3
13,1952,15.8
14,1956,15.2
15,1960,16.5
16,1964,16.2
17,1968,15.4
18,1972,16.0
19,1976,17.8
20,1980,18.6
21,1984,17.8
22,1988,19.8
23,1992,20.7
24,1996,22.0
25,2000,23.5
26,2004,22.9
27,2008,24.6
28,2012,25.6
29,2016,27.5
