,date,In DATE: The nutritionist explained to someone that cutting down on sugar would be an effective way to improve his diet.
0,1901,10.3
1,1904,0.0
2,1908,10.7
3,1912,11.5
4,1916,9.6
5,1920,11.6
6,1924,11.1
7,1928,10.6
8,1932,11.3
9,1936,10.8
10,1940,11.0
11,1944,10.5
12,1948,12.2
13,1952,11.3
14,1956,10.1
15,1960,10.7
16,1964,10.2
17,1968,9.3
18,1972,10.4
19,1976,12.1
20,1980,13.5
21,1984,12.3
22,1988,14.3
23,1992,15.8
24,1996,17.2
25,2000,18.4
26,2004,18.9
27,2008,19.3
28,2012,22.3
29,2016,23.3
