,date,In DATE: The painter sold an entire collection of paintings to the woman because he had to shut down the gallery.
0,1901,66.2
1,1904,66.4
2,1908,67.2
3,1912,67.4
4,1916,68.2
5,1920,67.4
6,1924,66.9
7,1928,66.5
8,1932,68.6
9,1936,68.4
10,1940,69.6
11,1944,69.6
12,1948,69.2
13,1952,68.1
14,1956,66.5
15,1960,66.9
16,1964,68.3
17,1968,68.1
18,1972,68.7
19,1976,67.7
20,1980,68.8
21,1984,68.7
22,1988,69.4
23,1992,68.6
24,1996,69.7
25,2000,68.8
26,2004,70.1
27,2008,70.2
28,2012,70.6
29,2016,70.7
