,date,In DATE: The psychologist told the patient to fill out a questionnaire so he could make a preliminary assessment.
0,1901,27.5
1,1904,28.6
2,1908,28.5
3,1912,29.1
4,1916,27.0
5,1920,27.7
6,1924,28.5
7,1928,28.4
8,1932,27.8
9,1936,28.9
10,1940,28.9
11,1944,28.4
12,1948,30.6
13,1952,29.4
14,1956,28.8
15,1960,29.9
16,1964,29.3
17,1968,29.0
18,1972,29.5
19,1976,31.0
20,1980,31.1
21,1984,30.3
22,1988,33.2
23,1992,34.1
24,1996,34.2
25,2000,35.3
26,2004,33.5
27,2008,35.0
28,2012,34.7
29,2016,35.2
