,date,"In DATE: The janitor warned the woman not to step on the wet floor, otherwise MASK would have to mop it all over again."
0,1901,99.3
1,1904,99.4
2,1908,99.4
3,1912,99.4
4,1916,99.3
5,1920,99.4
6,1924,99.4
7,1928,99.4
8,1932,99.4
9,1936,99.4
10,1940,99.3
11,1944,99.1
12,1948,99.4
13,1952,99.3
14,1956,99.2
15,1960,99.3
16,1964,99.3
17,1968,99.2
18,1972,99.3
19,1976,99.2
20,1980,99.3
21,1984,99.2
22,1988,99.3
23,1992,99.2
24,1996,99.3
25,2000,99.3
26,2004,99.3
27,2008,99.3
28,2012,99.4
29,2016,99.3
