,date,In DATE: The planner spoke with the woman who said that MASK proposal to build a new airport would be met with fierce opposition.
0,1901,70.3
1,1904,70.4
2,1908,69.8
3,1912,65.7
4,1916,72.6
5,1920,64.9
6,1924,65.0
7,1928,67.7
8,1932,69.0
9,1936,68.9
10,1940,68.5
11,1944,66.9
12,1948,71.0
13,1952,69.3
14,1956,68.0
15,1960,70.0
16,1964,70.8
17,1968,70.3
18,1972,73.4
19,1976,73.2
20,1980,73.9
21,1984,73.7
22,1988,76.3
23,1992,77.2
24,1996,79.3
25,2000,79.1
26,2004,81.2
27,2008,81.0
28,2012,80.7
29,2016,81.6
