,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because he was too incompetent."
0,1901,3.5
1,1904,3.5
2,1908,2.9
3,1912,3.6
4,1916,3.4
5,1920,4.0
6,1924,4.2
7,1928,4.0
8,1932,4.6
9,1936,4.3
10,1940,4.3
11,1944,4.0
12,1948,4.2
13,1952,4.9
14,1956,4.5
15,1960,4.8
16,1964,6.0
17,1968,6.2
18,1972,7.1
19,1976,6.6
20,1980,7.7
21,1984,8.2
22,1988,8.7
23,1992,9.1
24,1996,11.1
25,2000,10.6
26,2004,14.0
27,2008,14.6
28,2012,19.0
29,2016,21.7
