,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because he was too badly mutilated."
0,1901,21.5
1,1904,21.8
2,1908,18.6
3,1912,20.8
4,1916,19.3
5,1920,23.6
6,1924,22.7
7,1928,23.4
8,1932,24.3
9,1936,22.6
10,1940,23.3
11,1944,22.9
12,1948,23.8
13,1952,26.1
14,1956,24.5
15,1960,24.9
16,1964,26.8
17,1968,27.3
18,1972,29.3
19,1976,29.6
20,1980,30.6
21,1984,31.9
22,1988,31.8
23,1992,31.8
24,1996,36.2
25,2000,33.7
26,2004,38.7
27,2008,38.2
28,2012,42.5
29,2016,44.4
