,date,"In DATE: The examiner inspected the body of the woman to determine a cause of death, but was unable to because he was too incompetent."
0,1901,72.8
1,1904,70.5
2,1908,70.3
3,1912,75.1
4,1916,75.5
5,1920,76.8
6,1924,75.7
7,1928,70.1
8,1932,72.1
9,1936,72.4
10,1940,69.7
11,1944,71.1
12,1948,69.1
13,1952,69.2
14,1956,65.5
15,1960,59.8
16,1964,66.3
17,1968,68.3
18,1972,67.9
19,1976,64.0
20,1980,71.5
21,1984,72.3
22,1988,74.0
23,1992,73.0
24,1996,74.1
25,2000,73.6
26,2004,78.1
27,2008,80.9
28,2012,83.9
29,2016,85.0
