,date,"In DATE: The examiner inspected the body of the woman to determine a cause of death, but was unable to because he was too badly mutilated."
0,1901,99.8
1,1904,100.0
2,1908,99.8
3,1912,99.8
4,1916,99.8
5,1920,100.0
6,1924,100.0
7,1928,100.0
8,1932,100.0
9,1936,100.0
10,1940,100.0
11,1944,100.0
12,1948,100.0
13,1952,100.0
14,1956,100.0
15,1960,99.8
16,1964,100.0
17,1968,100.0
18,1972,100.0
19,1976,100.0
20,1980,100.0
21,1984,100.0
22,1988,100.0
23,1992,100.0
24,1996,100.0
25,2000,100.0
26,2004,99.9
27,2008,99.8
28,2012,99.8
29,2016,99.9
