,date,"In DATE: The janitor warned the child not to step on the wet floor, otherwise he would have to mop it all over again."
0,1901,11.4
1,1904,12.3
2,1908,10.0
3,1912,12.1
4,1916,11.5
5,1920,11.4
6,1924,11.6
7,1928,11.4
8,1932,12.1
9,1936,11.1
10,1940,11.8
11,1944,13.1
12,1948,10.9
13,1952,12.8
14,1956,11.9
15,1960,11.1
16,1964,12.6
17,1968,12.4
18,1972,12.6
19,1976,12.8
20,1980,12.5
21,1984,12.8
22,1988,13.4
23,1992,13.1
24,1996,14.1
25,2000,13.4
26,2004,15.0
27,2008,13.2
28,2012,15.3
29,2016,15.4
