,date,In DATE: The painter sold an entire collection of paintings to the woman because he had to shut down the gallery.
0,1901,88.5
1,1904,88.4
2,1908,87.9
3,1912,86.8
4,1916,85.2
5,1920,86.9
6,1924,85.9
7,1928,86.8
8,1932,85.8
9,1936,85.4
10,1940,84.7
11,1944,86.2
12,1948,84.5
13,1952,86.9
14,1956,86.2
15,1960,86.4
16,1964,85.1
17,1968,86.5
18,1972,87.1
19,1976,87.5
20,1980,87.9
21,1984,87.0
22,1988,88.0
23,1992,87.7
24,1996,87.0
25,2000,87.8
26,2004,87.4
27,2008,86.9
28,2012,87.0
29,2016,85.2
