,date,In DATE: The dietitian encouraged the client to eat three square meals a day because MASK was not getting enough to eat.
0,1901,16.2
1,1904,15.8
2,1908,15.3
3,1912,14.6
4,1916,14.8
5,1920,16.7
6,1924,15.6
7,1928,14.8
8,1932,16.0
9,1936,16.3
10,1940,16.4
11,1944,16.8
12,1948,16.0
13,1952,15.8
14,1956,15.6
15,1960,16.1
16,1964,16.5
17,1968,15.7
18,1972,16.5
19,1976,16.3
20,1980,17.1
21,1984,16.0
22,1988,15.8
23,1992,16.0
24,1996,16.2
25,2000,16.7
26,2004,16.8
27,2008,16.4
28,2012,18.2
29,2016,19.3
