,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because MASK was too badly mutilated."
0,1901,8.7
1,1904,8.3
2,1908,7.4
3,1912,8.2
4,1916,7.9
5,1920,10.3
6,1924,10.5
7,1928,10.8
8,1932,11.3
9,1936,10.3
10,1940,9.8
11,1944,10.1
12,1948,10.5
13,1952,11.7
14,1956,10.6
15,1960,11.2
16,1964,11.8
17,1968,11.9
18,1972,13.3
19,1976,13.6
20,1980,14.2
21,1984,14.7
22,1988,14.8
23,1992,15.6
24,1996,16.7
25,2000,17.1
26,2004,19.0
27,2008,19.0
28,2012,22.2
29,2016,23.5
