,date,In DATE: The planner spoke with the woman who said that MASK proposal to build a new airport would be met with fierce opposition.
0,1901,26.4
1,1904,28.9
2,1908,26.8
3,1912,26.1
4,1916,27.6
5,1920,25.0
6,1924,24.1
7,1928,24.5
8,1932,27.4
9,1936,23.9
10,1940,25.1
11,1944,24.0
12,1948,21.3
13,1952,22.5
14,1956,24.9
15,1960,23.9
16,1964,24.8
17,1968,24.8
18,1972,25.8
19,1976,26.5
20,1980,27.9
21,1984,27.8
22,1988,28.2
23,1992,30.1
24,1996,33.3
25,2000,41.2
26,2004,41.4
27,2008,48.8
28,2012,50.5
29,2016,54.3
