,date,In DATE: The chemist told the visitor that MASK would need to put on safety glasses before entering the laboratory.
0,1901,15.4
1,1904,15.3
2,1908,14.7
3,1912,15.5
4,1916,14.8
5,1920,15.9
6,1924,15.7
7,1928,16.2
8,1932,16.8
9,1936,15.7
10,1940,16.3
11,1944,16.1
12,1948,15.9
13,1952,16.8
14,1956,15.7
15,1960,16.9
16,1964,16.3
17,1968,17.1
18,1972,17.3
19,1976,16.6
20,1980,19.3
21,1984,19.7
22,1988,20.3
23,1992,20.2
24,1996,19.3
25,2000,20.6
26,2004,21.2
27,2008,19.5
28,2012,20.4
29,2016,20.6
