,date,In DATE: The chemist told the woman that MASK would need to put on safety glasses before entering the laboratory.
0,1901,99.0
1,1904,99.1
2,1908,99.0
3,1912,99.1
4,1916,99.0
5,1920,99.0
6,1924,99.0
7,1928,99.0
8,1932,99.0
9,1936,99.0
10,1940,99.0
11,1944,99.0
12,1948,99.0
13,1952,99.0
14,1956,99.1
15,1960,99.2
16,1964,99.2
17,1968,99.1
18,1972,99.1
19,1976,99.2
20,1980,99.2
21,1984,99.2
22,1988,99.2
23,1992,99.2
24,1996,99.3
25,2000,99.2
26,2004,99.3
27,2008,99.2
28,2012,99.3
29,2016,99.2
