,date,In DATE: The dietitian encouraged the client to eat three square meals a day because that was the advice MASK gave everyone.
0,1901,26.9
1,1904,26.3
2,1908,26.0
3,1912,28.0
4,1916,29.1
5,1920,27.8
6,1924,26.7
7,1928,26.2
8,1932,26.3
9,1936,25.3
10,1940,28.1
11,1944,26.9
12,1948,27.7
13,1952,28.7
14,1956,27.7
15,1960,31.4
16,1964,29.6
17,1968,31.2
18,1972,31.6
19,1976,31.9
20,1980,36.4
21,1984,36.0
22,1988,38.7
23,1992,37.5
24,1996,39.0
25,2000,41.4
26,2004,43.5
27,2008,43.5
28,2012,46.0
29,2016,48.9
