,date,In DATE: The dietitian encouraged someone to eat three square meals a day because MASK was not getting enough to eat.
0,1901,21.9
1,1904,20.4
2,1908,18.2
3,1912,19.0
4,1916,19.7
5,1920,21.5
6,1924,19.8
7,1928,18.0
8,1932,18.1
9,1936,18.1
10,1940,19.6
11,1944,18.9
12,1948,17.2
13,1952,18.4
14,1956,18.6
15,1960,21.2
16,1964,17.6
17,1968,20.0
18,1972,19.5
19,1976,20.4
20,1980,24.3
21,1984,24.0
22,1988,24.2
23,1992,23.8
24,1996,24.7
25,2000,26.8
26,2004,26.8
27,2008,26.1
28,2012,27.3
29,2016,29.8
