,date,In DATE: The dietitian encouraged the woman to eat three square meals a day because that was the advice MASK gave everyone.
0,1901,72.1
1,1904,70.4
2,1908,73.3
3,1912,73.2
4,1916,72.7
5,1920,75.9
6,1924,74.7
7,1928,73.2
8,1932,71.8
9,1936,72.2
10,1940,72.7
11,1944,70.0
12,1948,72.1
13,1952,71.4
14,1956,70.8
15,1960,72.6
16,1964,70.3
17,1968,71.8
18,1972,70.2
19,1976,70.5
20,1980,72.9
21,1984,72.3
22,1988,73.0
23,1992,72.1
24,1996,73.3
25,2000,75.3
26,2004,74.3
27,2008,74.9
28,2012,75.5
29,2016,76.9
