,date,In DATE: The woman called 911 and spoke to the dispatcher who said MASK should wait for help in a safe location.
0,1901,99.6
1,1904,99.6
2,1908,99.5
3,1912,99.6
4,1916,99.6
5,1920,99.6
6,1924,99.6
7,1928,99.6
8,1932,99.6
9,1936,99.6
10,1940,99.6
11,1944,99.6
12,1948,99.6
13,1952,99.6
14,1956,99.6
15,1960,99.6
16,1964,99.6
17,1968,99.6
18,1972,99.6
19,1976,99.6
20,1980,99.6
21,1984,100.0
22,1988,100.0
23,1992,99.6
24,1996,99.6
25,2000,99.6
26,2004,100.0
27,2008,100.0
28,2012,99.6
29,2016,100.0
