,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because MASK was too incompetent."
0,1901,6.5
1,1904,6.3
2,1908,6.8
3,1912,6.8
4,1916,7.6
5,1920,8.4
6,1924,7.0
7,1928,6.8
8,1932,6.8
9,1936,7.3
10,1940,7.6
11,1944,7.5
12,1948,7.1
13,1952,7.1
14,1956,7.9
15,1960,8.6
16,1964,8.1
17,1968,8.1
18,1972,8.3
19,1976,8.1
20,1980,9.9
21,1984,9.1
22,1988,9.6
23,1992,9.7
24,1996,9.7
25,2000,11.4
26,2004,11.1
27,2008,11.5
28,2012,12.1
29,2016,12.4
