,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because MASK was too badly mutilated."
0,1901,21.0
1,1904,19.6
2,1908,21.2
3,1912,21.1
4,1916,19.6
5,1920,22.3
6,1924,20.7
7,1928,18.3
8,1932,19.5
9,1936,20.3
10,1940,18.8
11,1944,18.4
12,1948,19.9
13,1952,20.3
14,1956,19.1
15,1960,21.2
16,1964,19.9
17,1968,19.7
18,1972,20.4
19,1976,21.1
20,1980,22.0
21,1984,21.4
22,1988,22.2
23,1992,22.7
24,1996,22.8
25,2000,24.6
26,2004,22.7
27,2008,22.6
28,2012,23.7
29,2016,24.0
