,date,In DATE: The firefighter had to rescue the child from the burning building because MASK could not just stand by and do nothing.
0,1901,9.6
1,1904,10.1
2,1908,11.1
3,1912,10.9
4,1916,11.4
5,1920,15.0
6,1924,10.9
7,1928,10.6
8,1932,10.5
9,1936,10.8
10,1940,11.1
11,1944,10.2
12,1948,11.0
13,1952,10.2
14,1956,14.6
15,1960,17.1
16,1964,12.2
17,1968,11.5
18,1972,11.8
19,1976,13.7
20,1980,17.6
21,1984,13.0
22,1988,13.7
23,1992,13.8
24,1996,14.0
25,2000,16.5
26,2004,14.8
27,2008,17.0
28,2012,18.0
29,2016,15.8
