,date,"In DATE: The janitor warned the woman not to step on the wet floor, otherwise MASK would have to mop it all over again."
0,1901,96.5
1,1904,96.3
2,1908,96.7
3,1912,96.3
4,1916,96.4
5,1920,96.1
6,1924,96.4
7,1928,96.6
8,1932,96.1
9,1936,95.8
10,1940,96.3
11,1944,96.2
12,1948,96.1
13,1952,95.9
14,1956,95.7
15,1960,96.3
16,1964,96.4
17,1968,96.7
18,1972,96.0
19,1976,96.3
20,1980,96.7
21,1984,96.5
22,1988,96.7
23,1992,96.4
24,1996,96.5
25,2000,97.1
26,2004,97.1
27,2008,97.2
28,2012,97.1
29,2016,97.0
