,date,In DATE: The painter sold an entire collection of paintings to the woman because MASK made an offer that was hard to refuse.
0,1901,87.7
1,1904,88.6
2,1908,88.5
3,1912,87.8
4,1916,89.1
5,1920,88.6
6,1924,88.9
7,1928,87.9
8,1932,88.4
9,1936,88.7
10,1940,88.3
11,1944,88.6
12,1948,87.7
13,1952,87.5
14,1956,88.4
15,1960,88.1
16,1964,88.5
17,1968,87.3
18,1972,88.4
19,1976,88.1
20,1980,87.9
21,1984,88.0
22,1988,87.5
23,1992,88.7
24,1996,88.5
25,2000,88.2
26,2004,89.2
27,2008,89.2
28,2012,89.5
29,2016,88.8
