,date,In DATE: The planner spoke with the woman who said that MASK proposal to build a new airport would be met with fierce opposition.
0,1901,96.5
1,1904,95.4
2,1908,95.1
3,1912,95.9
4,1916,95.2
5,1920,95.9
6,1924,95.9
7,1928,96.3
8,1932,95.1
9,1936,95.0
10,1940,95.8
11,1944,95.2
12,1948,95.3
13,1952,95.2
14,1956,95.5
15,1960,95.8
16,1964,95.6
17,1968,95.9
18,1972,94.9
19,1976,95.4
20,1980,95.9
21,1984,96.0
22,1988,95.7
23,1992,95.4
24,1996,95.9
25,2000,96.6
26,2004,96.2
27,2008,96.5
28,2012,96.9
29,2016,97.1
