,date,In DATE: The psychologist told the woman to fill out a questionnaire so MASK could make a preliminary assessment.
0,1901,42.2
1,1904,41.3
2,1908,41.2
3,1912,41.3
4,1916,42.4
5,1920,43.4
6,1924,41.8
7,1928,42.5
8,1932,43.3
9,1936,41.5
10,1940,44.9
11,1944,42.6
12,1948,43.3
13,1952,44.3
14,1956,42.6
15,1960,44.5
16,1964,45.6
17,1968,48.2
18,1972,46.0
19,1976,45.3
20,1980,49.1
21,1984,51.0
22,1988,51.3
23,1992,51.1
24,1996,49.9
25,2000,54.9
26,2004,54.0
27,2008,55.1
28,2012,55.5
29,2016,57.4
