,date,In DATE: The dietitian encouraged the man to eat three square meals a day because that was the advice he gave everyone.
0,1901,9.2
1,1904,7.6
2,1908,10.1
3,1912,7.7
4,1916,10.4
5,1920,8.4
6,1924,11.0
7,1928,10.1
8,1932,10.8
9,1936,11.0
10,1940,14.6
11,1944,15.0
12,1948,13.8
13,1952,14.2
14,1956,14.7
15,1960,14.0
16,1964,14.0
17,1968,16.1
18,1972,15.3
19,1976,16.6
20,1980,17.0
21,1984,16.9
22,1988,20.2
23,1992,20.1
24,1996,21.1
25,2000,22.9
26,2004,24.5
27,2008,27.9
28,2012,30.4
29,2016,35.2
