,date,In DATE: The dietitian encouraged the woman to eat three square meals a day because that was the advice he gave everyone.
0,1901,18.3
1,1904,16.4
2,1908,18.8
3,1912,17.7
4,1916,20.0
5,1920,17.2
6,1924,21.0
7,1928,21.1
8,1932,22.8
9,1936,22.1
10,1940,25.3
11,1944,27.0
12,1948,27.8
13,1952,24.8
14,1956,26.9
15,1960,27.5
16,1964,28.6
17,1968,28.7
18,1972,29.7
19,1976,29.2
20,1980,31.4
21,1984,29.9
22,1988,35.1
23,1992,34.0
24,1996,34.3
25,2000,36.8
26,2004,38.9
27,2008,41.6
28,2012,43.2
29,2016,46.4
