,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because he was too incompetent."
0,1901,9.3
1,1904,8.5
2,1908,9.1
3,1912,7.6
4,1916,7.8
5,1920,9.3
6,1924,9.5
7,1928,9.2
8,1932,9.0
9,1936,9.7
10,1940,9.5
11,1944,9.5
12,1948,10.7
13,1952,10.4
14,1956,9.4
15,1960,10.9
16,1964,10.4
17,1968,10.8
18,1972,10.5
19,1976,10.5
20,1980,11.4
21,1984,11.0
22,1988,11.7
23,1992,13.2
24,1996,13.2
25,2000,15.4
26,2004,14.9
27,2008,17.5
28,2012,18.5
29,2016,21.7
