,date,"In DATE: The janitor warned the child not to step on the wet floor, otherwise he would have to mop it all over again."
0,1901,28.2
1,1904,25.0
2,1908,25.9
3,1912,22.1
4,1916,19.8
5,1920,23.8
6,1924,25.4
7,1928,25.5
8,1932,25.1
9,1936,24.3
10,1940,28.2
11,1944,28.9
12,1948,30.6
13,1952,29.0
14,1956,27.0
15,1960,29.0
16,1964,27.9
17,1968,31.2
18,1972,29.4
19,1976,31.1
20,1980,34.1
21,1984,34.3
22,1988,38.1
23,1992,37.7
24,1996,38.8
25,2000,41.8
26,2004,42.6
27,2008,46.5
28,2012,48.9
29,2016,53.6
