,date,In DATE: The painter sold an entire collection of paintings to someone because he made an offer that was hard to refuse.
0,1901,11.5
1,1904,10.8
2,1908,10.8
3,1912,10.6
4,1916,10.5
5,1920,9.8
6,1924,11.3
7,1928,10.7
8,1932,10.5
9,1936,10.0
10,1940,11.0
11,1944,11.5
12,1948,10.3
13,1952,11.4
14,1956,10.7
15,1960,12.0
16,1964,12.2
17,1968,12.6
18,1972,12.0
19,1976,12.5
20,1980,13.3
21,1984,13.9
22,1988,13.9
23,1992,14.4
24,1996,14.1
25,2000,15.3
26,2004,15.4
27,2008,16.4
28,2012,18.3
29,2016,20.2
