,date,In DATE: The painter sold an entire collection of paintings to the woman because he had to shut down the gallery.
0,1901,34.0
1,1904,34.8
2,1908,33.1
3,1912,32.7
4,1916,32.6
5,1920,33.8
6,1924,34.4
7,1928,33.0
8,1932,33.2
9,1936,32.9
10,1940,34.1
11,1944,33.6
12,1948,35.2
13,1952,35.3
14,1956,34.3
15,1960,35.2
16,1964,34.3
17,1968,32.3
18,1972,33.4
19,1976,34.0
20,1980,35.5
21,1984,32.4
22,1988,33.3
23,1992,34.5
24,1996,33.3
25,2000,34.2
26,2004,35.3
27,2008,34.3
28,2012,34.0
29,2016,33.5
