,date,In DATE: The paralegal forgot to file paperwork for the client so he got fed up and went to a different law firm.
0,1901,45.3
1,1904,44.2
2,1908,46.0
3,1912,44.3
4,1916,43.1
5,1920,44.6
6,1924,46.1
7,1928,46.0
8,1932,46.2
9,1936,45.9
10,1940,47.1
11,1944,45.6
12,1948,47.4
13,1952,47.7
14,1956,46.4
15,1960,46.9
16,1964,47.3
17,1968,47.4
18,1972,48.2
19,1976,48.8
20,1980,48.3
21,1984,47.8
22,1988,49.3
23,1992,49.3
24,1996,49.6
25,2000,49.3
26,2004,49.8
27,2008,50.5
28,2012,51.7
29,2016,53.8
