,date,In DATE: The planner spoke with the resident who said that his proposal to build a new airport would be met with fierce opposition.
0,1901,14.9
1,1904,11.5
2,1908,11.1
3,1912,9.7
4,1916,8.8
5,1920,9.7
6,1924,10.0
7,1928,10.8
8,1932,11.1
9,1936,9.8
10,1940,12.5
11,1944,10.4
12,1948,9.8
13,1952,12.3
14,1956,9.5
15,1960,9.7
16,1964,10.4
17,1968,10.8
18,1972,10.2
19,1976,10.7
20,1980,10.7
21,1984,11.3
22,1988,10.9
23,1992,11.5
24,1996,11.3
25,2000,12.7
26,2004,11.8
27,2008,12.7
28,2012,12.7
29,2016,14.0
