,date,"In DATE: The janitor warned the woman not to step on the wet floor, otherwise MASK would have to mop it all over again."
0,1901,53.4
1,1904,53.1
2,1908,54.2
3,1912,51.9
4,1916,50.5
5,1920,52.9
6,1924,54.8
7,1928,52.5
8,1932,53.3
9,1936,52.6
10,1940,57.0
11,1944,56.0
12,1948,56.7
13,1952,55.4
14,1956,53.4
15,1960,57.0
16,1964,56.6
17,1968,55.5
18,1972,56.6
19,1976,56.8
20,1980,59.2
21,1984,57.9
22,1988,60.5
23,1992,60.4
24,1996,59.8
25,2000,61.8
26,2004,64.1
27,2008,64.4
28,2012,65.0
29,2016,66.4
