,date,In DATE: The planner spoke with the resident who said that MASK proposal to build a new airport would be met with fierce opposition.
0,1901,14.2
1,1904,11.1
2,1908,10.7
3,1912,10.1
4,1916,9.2
5,1920,9.6
6,1924,10.9
7,1928,10.3
8,1932,11.2
9,1936,10.4
10,1940,11.8
11,1944,11.3
12,1948,10.5
13,1952,11.6
14,1956,9.7
15,1960,10.3
16,1964,10.5
17,1968,10.4
18,1972,10.4
19,1976,10.2
20,1980,10.7
21,1984,11.3
22,1988,11.5
23,1992,11.2
24,1996,11.3
25,2000,12.3
26,2004,11.6
27,2008,12.5
28,2012,13.0
29,2016,14.6
