,date,In DATE: The psychologist told the patient to fill out a questionnaire so MASK could make a preliminary assessment.
0,1901,29.0
1,1904,30.2
2,1908,29.6
3,1912,25.5
4,1916,20.9
5,1920,24.6
6,1924,29.2
7,1928,28.5
8,1932,30.8
9,1936,30.4
10,1940,31.7
11,1944,31.5
12,1948,32.1
13,1952,32.2
14,1956,31.2
15,1960,31.8
16,1964,33.6
17,1968,33.5
18,1972,36.0
19,1976,35.3
20,1980,37.4
21,1984,35.6
22,1988,39.9
23,1992,39.4
24,1996,40.8
25,2000,43.1
26,2004,43.3
27,2008,47.1
28,2012,48.6
29,2016,51.3
