,date,In DATE: The dietitian encouraged someone to eat three square meals a day because that was the advice he gave everyone.
0,1901,15.2
1,1904,12.7
2,1908,14.4
3,1912,21.6
4,1916,23.2
5,1920,22.7
6,1924,19.6
7,1928,23.4
8,1932,29.7
9,1936,30.2
10,1940,33.2
11,1944,35.2
12,1948,36.7
13,1952,38.9
14,1956,39.6
15,1960,40.4
16,1964,40.9
17,1968,43.7
18,1972,48.2
19,1976,47.0
20,1980,55.0
21,1984,57.9
22,1988,60.5
23,1992,61.1
24,1996,63.7
25,2000,66.2
26,2004,70.5
27,2008,77.8
28,2012,77.1
29,2016,77.7
