,date,In DATE: The dietitian encouraged someone to eat three square meals a day because he was not getting enough to eat.
0,1901,23.3
1,1904,21.9
2,1908,24.0
3,1912,25.4
4,1916,26.0
5,1920,26.0
6,1924,24.2
7,1928,26.1
8,1932,29.2
9,1936,30.0
10,1940,30.3
11,1944,31.7
12,1948,33.3
13,1952,33.9
14,1956,32.2
15,1960,33.0
16,1964,32.9
17,1968,33.2
18,1972,34.9
19,1976,34.1
20,1980,37.0
21,1984,37.2
22,1988,38.3
23,1992,39.8
24,1996,40.7
25,2000,41.1
26,2004,42.4
27,2008,44.9
28,2012,45.6
29,2016,47.8
