,date,In DATE: The bystander called 911 and spoke to the dispatcher who said he should wait for help in a safe location.
0,1901,43.7
1,1904,41.2
2,1908,41.0
3,1912,43.8
4,1916,41.5
5,1920,40.7
6,1924,43.9
7,1928,41.6
8,1932,42.8
9,1936,40.9
10,1940,38.8
11,1944,39.8
12,1948,42.8
13,1952,41.3
14,1956,42.9
15,1960,41.4
16,1964,41.0
17,1968,41.6
18,1972,41.0
19,1976,41.9
20,1980,42.1
21,1984,44.1
22,1988,44.9
23,1992,43.9
24,1996,46.5
25,2000,45.0
26,2004,46.5
27,2008,46.9
28,2012,49.7
29,2016,50.9
