,date,"In DATE: The examiner inspected the body of the man to determine a cause of death, but was unable to because he was too incompetent."
0,1901,6.6
1,1904,6.0
2,1908,6.7
3,1912,8.4
4,1916,7.7
5,1920,7.0
6,1924,7.6
7,1928,8.6
8,1932,9.5
9,1936,8.9
10,1940,9.2
11,1944,9.1
12,1948,11.3
13,1952,10.4
14,1956,9.9
15,1960,12.9
16,1964,11.8
17,1968,12.9
18,1972,13.7
19,1976,14.1
20,1980,16.3
21,1984,18.4
22,1988,17.7
23,1992,17.8
24,1996,18.2
25,2000,20.0
26,2004,20.1
27,2008,20.7
28,2012,21.8
29,2016,21.7
