,date,"In DATE: The examiner inspected the body of someone to determine a cause of death, but was unable to because he was too incompetent."
0,1901,18.7
1,1904,17.7
2,1908,19.4
3,1912,21.1
4,1916,22.6
5,1920,19.9
6,1924,21.8
7,1928,21.9
8,1932,23.9
9,1936,24.6
10,1940,24.6
11,1944,25.6
12,1948,28.0
13,1952,27.3
14,1956,27.7
15,1960,28.6
16,1964,28.0
17,1968,28.7
18,1972,29.9
19,1976,30.5
20,1980,32.4
21,1984,34.2
22,1988,34.3
23,1992,34.6
24,1996,35.7
25,2000,35.7
26,2004,36.8
27,2008,39.2
28,2012,41.0
29,2016,41.2
