,date,"In DATE: The examiner inspected the body of the woman to determine a cause of death, but was unable to because he was too incompetent."
0,1901,36.0
1,1904,34.3
2,1908,36.8
3,1912,39.9
4,1916,43.4
5,1920,39.5
6,1924,42.6
7,1928,43.3
8,1932,41.4
9,1936,42.6
10,1940,44.2
11,1944,47.4
12,1948,47.7
13,1952,48.2
14,1956,51.2
15,1960,49.5
16,1964,49.4
17,1968,49.3
18,1972,51.6
19,1976,51.4
20,1980,53.3
21,1984,55.1
22,1988,57.3
23,1992,57.7
24,1996,59.9
25,2000,58.0
26,2004,59.8
27,2008,64.1
28,2012,68.5
29,2016,73.8
