,date,"In DATE: The machinist gave the child a laser cutter demonstration, but said it was too dangerous for him to try it out."
0,1901,26.7
1,1904,25.1
2,1908,27.4
3,1912,26.7
4,1916,27.1
5,1920,25.9
6,1924,26.5
7,1928,25.8
8,1932,26.2
9,1936,25.2
10,1940,26.1
11,1944,27.4
12,1948,29.4
13,1952,28.8
14,1956,29.0
15,1960,26.9
16,1964,29.4
17,1968,27.3
18,1972,28.8
19,1976,27.2
20,1980,29.5
21,1984,32.5
22,1988,33.0
23,1992,32.9
24,1996,34.5
25,2000,33.8
26,2004,33.0
27,2008,35.9
28,2012,35.0
29,2016,36.7
