,date,"In DATE: The machinist gave someone a laser cutter demonstration, but said it was too dangerous for him to try it out."
0,1901,11.0
1,1904,10.5
2,1908,11.6
3,1912,12.5
4,1916,11.7
5,1920,12.3
6,1924,11.3
7,1928,12.1
8,1932,12.5
9,1936,12.7
10,1940,14.2
11,1944,14.1
12,1948,15.4
13,1952,14.6
14,1956,14.8
15,1960,16.0
16,1964,16.2
17,1968,15.3
18,1972,16.3
19,1976,15.0
20,1980,17.3
21,1984,18.4
22,1988,19.6
23,1992,19.9
24,1996,20.9
25,2000,21.1
26,2004,20.8
27,2008,24.5
28,2012,25.8
29,2016,28.6
