,date,In DATE: The nutritionist explained to the man that it was his belief that diet and exercise were equally important.
0,1901,9.1
1,1904,10.6
2,1908,11.7
3,1912,14.1
4,1916,12.2
5,1920,12.0
6,1924,12.1
7,1928,13.4
8,1932,14.4
9,1936,15.9
10,1940,16.5
11,1944,17.9
12,1948,22.5
13,1952,18.9
14,1956,20.0
15,1960,22.7
16,1964,22.2
17,1968,21.7
18,1972,22.7
19,1976,23.2
20,1980,28.6
21,1984,30.5
22,1988,33.1
23,1992,32.4
24,1996,34.1
25,2000,33.8
26,2004,34.6
27,2008,35.2
28,2012,37.4
29,2016,38.5
