,date,In DATE: The nutritionist explained to the patient that it was his belief that diet and exercise were equally important.
0,1901,36.1
1,1904,35.3
2,1908,36.9
3,1912,40.6
4,1916,40.2
5,1920,37.7
6,1924,39.2
7,1928,39.9
8,1932,42.2
9,1936,41.6
10,1940,43.3
11,1944,42.1
12,1948,47.6
13,1952,47.9
14,1956,49.9
15,1960,48.7
16,1964,50.7
17,1968,48.3
18,1972,50.4
19,1976,50.2
20,1980,57.0
21,1984,56.9
22,1988,61.7
23,1992,59.7
24,1996,62.9
25,2000,61.2
26,2004,63.6
27,2008,67.4
28,2012,69.8
29,2016,69.0
