,date,In DATE: The nutritionist explained to the woman that it was his belief that diet and exercise were equally important.
0,1901,54.2
1,1904,51.6
2,1908,52.9
3,1912,61.2
4,1916,60.2
5,1920,56.1
6,1924,57.5
7,1928,57.7
8,1932,58.9
9,1936,57.9
10,1940,59.4
11,1944,61.2
12,1948,64.6
13,1952,64.1
14,1956,65.4
15,1960,62.8
16,1964,62.4
17,1968,61.5
18,1972,61.5
19,1976,63.1
20,1980,69.8
21,1984,75.5
22,1988,75.2
23,1992,70.3
24,1996,73.5
25,2000,71.2
26,2004,72.0
27,2008,75.9
28,2012,77.7
29,2016,80.0
