,date,In DATE: The psychologist told the patient to fill out a questionnaire so he could make a preliminary assessment.
0,1901,39.6
1,1904,37.0
2,1908,38.5
3,1912,39.7
4,1916,40.3
5,1920,39.5
6,1924,39.5
7,1928,40.5
8,1932,41.8
9,1936,39.9
10,1940,40.5
11,1944,39.5
12,1948,43.2
13,1952,42.1
14,1956,43.3
15,1960,43.6
16,1964,43.1
17,1968,44.4
18,1972,44.5
19,1976,44.3
20,1980,46.6
21,1984,47.0
22,1988,49.1
23,1992,49.4
24,1996,50.3
25,2000,49.6
26,2004,49.8
27,2008,53.4
28,2012,55.1
29,2016,57.7
