,date,In DATE: The dietitian encouraged the man to eat three square meals a day because that was the advice MASK gave everyone.
0,1901,16.3
1,1904,14.7
2,1908,17.0
3,1912,24.1
4,1916,21.4
5,1920,20.7
6,1924,21.1
7,1928,25.3
8,1932,25.4
9,1936,28.0
10,1940,29.1
11,1944,29.3
12,1948,33.6
13,1952,33.3
14,1956,36.8
15,1960,39.2
16,1964,38.6
17,1968,39.5
18,1972,41.3
19,1976,41.1
20,1980,44.9
21,1984,47.4
22,1988,48.6
23,1992,48.5
24,1996,50.6
25,2000,47.7
26,2004,53.0
27,2008,59.8
28,2012,53.9
29,2016,54.8
