,date,"In DATE: The examiner inspected the body of the victim to determine a cause of death, but was unable to because MASK was too badly mutilated."
0,1901,35.3
1,1904,32.5
2,1908,36.0
3,1912,38.1
4,1916,33.1
5,1920,37.0
6,1924,40.1
7,1928,39.5
8,1932,41.3
9,1936,40.8
10,1940,43.1
11,1944,40.3
12,1948,47.5
13,1952,49.0
14,1956,47.2
15,1960,51.9
16,1964,49.2
17,1968,51.4
18,1972,51.3
19,1976,52.6
20,1980,60.5
21,1984,58.4
22,1988,62.2
23,1992,63.3
24,1996,64.1
25,2000,66.8
26,2004,65.4
27,2008,67.6
28,2012,65.8
29,2016,67.1
